계정코드,날짜,적요,코드,거래처,차변,대변,잔액
81300,1-4,거래처 접대비/신용카드(법인),00350,주식회사 스프링가든,11400,0,11400
81300,1-2,거래처 접대비/신용카드(법인),00350,주식회사 스프링가든,12900,0,172100
81300,1-2,거래처 접대비/신용카드(법인),0,어클락(oclock),91200,0,263300
81300,4-1,거래처 접대비/신용카드(법인),0,삼보개발주식회사,218950,0,2948550
81300,3-1,거래처 접대비/신용카드(법인),0,바다가,95800,0,1623600
81300,12-3,거래처 접대비/신용카드(법인),0,테스트거래처,50000,0,50000
